bill,date,code,sp,quantity,price,revenue,discount,%
20015,1/1/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
20017,1/1/2021,SG 466,Thử thách IQ Blox,1,"249,000","249,000",0,0
80011,1/1/2021,SG 488,Thử thách IQ Twist,1,"249,000","249,000",0,0
80032,1/1/2021,SG 444,Thử thách IQ XOXO,1,"249,000","249,000",0,0
80042,1/1/2021,SG 425,Sóc lăn hạt,1,"399,000","279,000","120,000",0.3
120016,1/1/2021,SG 021 ,Cô bé quàng khăn đỏ (HỦy),1,"690,000","690,000",0,0
,,SGT 240-8,Tàu Noah,1,"249,000",,"249,000",1
140016,1/1/2021,SG 444,Thử thách IQ XOXO,1,"249,000","249,000",0,0
150009,1/1/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
170034,1/1/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
200008,1/1/2021,SG 466,Thử thách IQ Blox,1,"249,000","249,000",0,0
250018,1/1/2021,SG 466,Thử thách IQ Blox,1,"249,000","249,000",0,0
20013,2/1/2021,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
20015,2/1/2021,SG 444,Thử thách IQ XOXO,1,"249,000","249,000",0,0
50008,2/1/2021,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
80010,2/1/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
80013,2/1/2021,SG 282,Hòn đảo khủng long huyền bí,1,"590,000","413,000","177,000",0.3
80018,2/1/2021,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
80025,2/1/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
,,SGM 201,Ghép hình lập phương mở rộng,1,"499,000","499,000",0,0
80027,2/1/2021,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
80036,2/1/2021,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
80041,2/1/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
140002,2/1/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
,,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
140035,2/1/2021,SG 425,Sóc lăn hạt,1,"399,000","279,000","120,000",0.3
150019,2/1/2021,SGM 201,Ghép hình lập phương mở rộng,1,"499,000","499,000",0,0
150025,2/1/2021,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
,,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
160017,2/1/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
170008,2/1/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
190003,2/1/2021,SGM 201,Ghép hình lập phương mở rộng,1,"499,000","499,000",0,0
,,SGT 240-8,Tàu Noah,1,"249,000","249,000",0,0
200005,2/1/2021,SGM 201,Ghép hình lập phương mở rộng,1,"499,000","499,000",0,0
20016,3/1/2021,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
