bill,date,code,sp,quantity,price,revenue,discount
20001,1/7/2023,DL32650,Bộ tủ lạnh Dalimi,1,"1,190,000","1,071,000","119,000"
20002,1/7/2023,AQB-79638,Hạt AQB_ Mega Bead (24 màu),1,"649,000","649,000",
,,AQB-79198,Bình AQB (phun nước),1,"89,000",,"89,000"
,,AQB-79658,Bút AQB (lấy hạt)_Hồng,1,"89,000",,"89,000"
,,AQB-79648,Khay mẫu AQB (xếp hạt),1,"89,000",,"89,000"
,,AQB-79268,Hình mẫu xếp hạt Aquabeads,1,"89,000",,"89,000"
20003,1/7/2023,HP32247,Máy làm đá bào Harp,1,"1,090,000","990,000","100,000"
20004,1/7/2023,444-810,Xe trượt scooter 3 bánh GLOBBER ELITE PRIME cho ,1,"2,880,000","2,880,000",
20005,1/7/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
20006,1/7/2023,SG 302,Thử thách IQ Love,1,"329,000","329,000",
,,SG 401,Thử thách IQ Mini,1,"149,000","149,000",
,,SGM 506,Thử Thách Tập Hợp Chim Cánh Cụt,1,"590,000","590,000",
,,SG 450,Thử Thách Những Chú Mèo và Hộp,1,"449,000","449,000",
20007,1/7/2023,4.5731E+12,POKEPLA 44 RIOLU & LUCARIO,1,"499,000","499,000",
20008,1/7/2023,4.5731E+12,POKEPLA 37 Mega Bursyamo,1,"549,000","549,000",
20009,1/7/2023,HP73207,Bộ dụng cụ đóng dấu Harp,1,"890,000","890,000",
20010,1/7/2023,SG 301,Thử thách IQ Digits,1,"329,000","329,000",
20011,1/7/2023,SGM 506,Thử Thách Tập Hợp Chim Cánh Cụt,1,"590,000","590,000",
20012,1/7/2023,4.5731E+12,POKEPLA 44 RIOLU & LUCARIO,1,"499,000","499,000",
20013,1/7/2023,TM-421511,Đồ chơi mô hình S-20 Tsubame Express,1,"390,000","390,000",
,,TM-112907,R-14 Crossing Point Rail,1,"120,000",,"120,000"
,,TM-112907,R-14 Crossing Point Rail,1,"120,000",,"120,000"
20014,1/7/2023,TM-439073,61 BMW Z4,1,"89,000","89,000",
20015,1/7/2023,TM-861096,B-40 Beybladeburst Launcher Grip,1,"199,000","99,000","100,000"
,,TM-833307,B-04 Bộ Con Quay Kerberos,1,"379,000","200,000","179,000"
20016,1/7/2023,BX1206Z,Đàn ghita Cún cưng B.Toys,1,"1,190,000","1,071,000","119,000"
150001,1/7/2023,433-206,Xe trượt scooter 3 bánh gấp gọn có bánh xe phát ,1,"2,180,000","1,962,000","218,000"
150002,1/7/2023,SG 306,Thử thách IQ Twins,1,"279,000","279,000",
150003,1/7/2023,MAG-701005,Bộ cơ bản 30 mảnh,1,"1,290,000","1,090,000","200,000"
150004,1/7/2023,HP32257,Máy làm sticker 3D Harp,1,"990,000","990,000",
150005,1/7/2023,HP73322,Bể cá cầu vồng Harp,1,"1,590,000","1,590,000",
150006,1/7/2023,SG 302,Thử thách IQ Love,1,"329,000","329,000",
150007,1/7/2023,DL73261,Máy Xay Sinh Tố Dalimi,1,"890,000","890,000",
150008,1/7/2023,SG 301,Thử thách IQ Digits,1,"329,000","329,000",
150009,1/7/2023,BAB-151,"Kính bơi cho bé Babiators - Hồng mĩ miều , từ 3 tuổi",1,"825,000","742,000","83,000"
150010,1/7/2023,AN6038Z,Ống Ngựa Terra,1,"399,000","399,000",
150011,1/7/2023,SG 301,Thử thách IQ Digits,1,"329,000","329,000",
150012,1/7/2023,FPLO-1400,Đồ chơi máy bay chữa cháy Green Toys cho bé từ ,1,"599,000","539,000","60,000"
150013,1/7/2023,PL70732,Blindpack nhân vật Playmobil Season 21 ,1,"99,000","99,000",
150014,1/7/2023,DL73001,Búp bê Doremi bé nhỏ Dalimi,1,"790,000","790,000",
150015,1/7/2023,RND-008,Kính chống tia cực tím Babiators mắt tròn - All ,1,"695,000","625,000","70,000"
