bill,date,code,sp,quantity,price,revenue,discount,%
20007,1/1/2022,SG 412,Ghép hình lập phương,1,399000,399000,0,0
150003,1/1/2022,SG 094,Thử thách Đại chiến Tàu hải tặc,1,590000,531000,59000,0.1
150004,1/1/2022,SG 412,Ghép hình lập phương,1,399000,399000,0,0
150007,1/1/2022,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
150024,1/1/2022,SG 412,Ghép hình lập phương,1,399000,399000,0,0
170012,1/1/2022,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
,,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
20002,2/1/2022,SG 412,Ghép hình lập phương,1,399000,399000,0,0
20006,2/1/2022,SG 477,Thử thách IQ Link,1,249000,249000,0,0
20008,2/1/2022,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
,,SG 477,Thử thách IQ Link,1,249000,249000,0,0
20003,3/1/2022,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
20009,3/1/2022,SG 412,Ghép hình lập phương,1,399000,399000,0,0
170005,3/1/2022,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
170020,3/1/2022,SG 425,Sóc lăn hạt,1,399000,399000,0,0
190008,3/1/2022,SG 412,Ghép hình lập phương,1,399000,399000,0,0
150002,4/1/2022,SG 423,Thử thách IQ hạt tròn,1,249000,249000,0,0
150002,5/1/2022,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
150005,5/1/2022,SG 445,Thử thách Quả táo xoắn não,1,399000,399000,0,0
SO0001,5/1/2022,SG 445,Thử thách Quả táo xoắn não,1,399000,399000,0,0
,,SG 094,Thử thách Đại chiến Tàu hải tặc,1,590000,531000,59000,0.1
150009,6/1/2022,SG 023,Ba chú heo con,1,690000,690000,0,0
,,SG 412,Ghép hình lập phương,1,399000,399000,0,0
190003,6/1/2022,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
170014,7/1/2022,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
190002,7/1/2022,SG 425,Sóc lăn hạt,1,399000,399000,0,0
150008,8/1/2022,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
,,SG 094,Thử thách Đại chiến Tàu hải tặc,1,590000,531000,59000,0.1
170007,8/1/2022,SG 412,Ghép hình lập phương,1,399000,399000,0,0
170020,8/1/2022,SG 423,Thử thách IQ hạt tròn,1,249000,249000,0,0
,,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
20003,9/1/2022,SG 445,Thử thách Quả táo xoắn não,1,399000,338000,61000,0.152882206
,,SG 467,Thử thách IQ Circuit,1,279000,211000,68000,0.243727599
,,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
,,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
150017,9/1/2022,SG 023,Ba chú heo con,1,690000,690000,0,0
150026,9/1/2022,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
170005,9/1/2022,SG 423,Thử thách IQ hạt tròn,1,249000,249000,0,0
170025,9/1/2022,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
SO0007,9/1/2022,SG 455,Thử thách IQ Pro,1,249000,124500,124500,0.5
,,SG 423,Thử thách IQ hạt tròn,1,249000,124500,124500,0.5
SO0008,9/1/2022,SG 412,Ghép hình lập phương,1,399000,399000,0,0
