code,name,price,stock,FL Lotte,FL Takashimaya,FL Estella,FL Crescent Mall,Sale Online,FL Event HCM,Kho VP805,Kho GKCPP,Kho FL,Kho ADC,FL Sai Dong,Kho HN_Thanh lý,Kho HCM_Thanh lý
EP-97025,Hàng Marketing_Thỏ Chocolate 90cm,"7,649,000",3,,,2,,,,,,,,,,1
TA-514890,Đồ chơi Starter Workshop,"460,000",3,,,,,,,,,3,,,,
TA-514906,Đồ chơi Deluxe Workshop,"1,200,000",1,,,1,,,,,,,,,,
TA-514913,Đồ chơi Kid Wood M,"360,000",7,,,6,,,,,,1,,,,
TA-514937,"Đồ chơi Nail, Screw and Hinge","290,000",6,,,,,,,,,6,,,,
TA-514944,Đồ chơi Driver and Hold Cutter,"260,000",12,,,,,,,,,12,,,,
TA-514951,Đồ chơi Saw and Guide,"260,000",6,,,,,,,,,6,,,,
TY-69570,Linh kiện dường đua,"2,590,000",4,,,,,,,,,,,,4,
TY-69571,Linh kiện dường đua,"1,890,000",4,,,,,,,,,,,,4,
TM-257271,Đồ chơi Tomica World 257271 - Tomica Parking Case,"490,000",2,,,,,,,,,2,,,,
TM-329473,Minnie Toy Charm,"240,000",1,,,,,,,,,,,,1,
TM-421511,Đồ chơi mô hình S-20 Tsubame Express,"390,000",5,3,,2,,,,,,,,,,
TM-430681,Đồ chơi mô hình Vehicle Base Rail Set,"790,000",5,5,,,,,,,,,,,,
TM-457152,Đồ chơi N700 Shinkansen Set,"950,000",38,,,4,,,,,,4,30,,,
TM-470724,Đồ chơi mô hình Doctor Yellow Set,"890,000",4,4,,,,,,,,,,,,
TM-471417,Đồ chơi mô hình Palm Pet Happy Pikachu,"349,000",1,,,1,,,,,,,,,,
TM-471431,Đồ chơi mô hình Palm Pet Lovely Pikachu,"349,000",1,,,1,,,,,,,,,,
TM-478751,Đồ chơi mô hình E233 Saikyo Line,"390,000",18,,,,,,,,,,18,,,
TM-491958,Line Label Maker,"750,000",1,,,,,,,,,1,,,,
TM-494041,Flight Shumilator Dusty,"1,400,000",1,,,,,,,,,,,,1,
TM-6555,Megasketcher,"790,000",6,,,6,,,,,,,,,,
TM-72194,Stack 'N' Play Lighthouse,"680,000",2,,,2,,,,,,,,,,
TM-72196,Protect 'N' Play I-Case,"460,000",3,,,,,,,,,,,,3,
TM-72215,Poppin' Penguin Island,"680,000",1,,,,,,,,,,,,1,
TM-805151,Samuraiborg Enzan,"980,000",1,,,,,,,,,1,,,,
TM-813996,Đồ chơi mô hình E5 & E6 Connecting Set,"950,000",42,2,,11,,,,,,5,24,,,
TM-826576,M-02 Movin Movin Woody,"160,000",41,,,,,,,,,39,,2,,
TM-826651,M-10 Movin Movin Fric,"160,000",1,,,,,,,,,1,,,,
TM-826668,M-04 Movin Movin Remy,"160,000",1,,,,,,,,,1,,,,
