bill,date,code,sp,quantity,price,revenue,discount
SO0018,28/02/2023,41397, Xe TảI TráI Cây ,1,839000,839000,
170021,18/03/2023,60292,Lắp ráp xe cảnh sát,1,116000,58000,58000
,,60342,Cân bằng cá heo,1,252000,126000,126000
,,60522,Thành phố tương lai,1,322000,161000,161000
,,60532,Thú Lắp Ráp 3D,1,140000,70000,70000
,,60532,Thú Lắp Ráp 3D,1,140000,70000,70000
SO0029,16/02/2023,61192,Bộ đồ nghề sửa chữa,1,270000,135000,135000
SO0011,16/02/2023,61392,Ba bước phát triển,1,103000,51000,52000
,,62342,Đĩa cân bằng,1,190000,95000,95000
,,62522,Trang trại của bé,1,256000,128000,128000
,,62522,Trang trại của bé,1,256000,128000,128000
,,62522,Trang trại của bé,1,256000,128000,128000
,,63082,Thảy vòng chú hề,1,119000,59000,60000
170005,3/1/2023,63192,Trò chơi đập banh.,1,205000,184000,21000
,,63192,Trò chơi đập banh.,1,205000,102000,103000
,,63252,Châu Chấu,1,129000,64000,65000
,,64262,Bánh xe chuyển động,1,160000,80000,80000
,,64262,Bánh xe chuyển động,1,160000,80000,80000
,,64262,Bánh xe chuyển động,1,160000,80000,80000
,,64362,Thử thách câu cá,1,131000,65000,66000
,,64362,Thử thách câu cá,1,131000,65000,66000
,,64362,Thử thách câu cá,1,131000,65000,66000
,,64362,Thử thách câu cá,1,131000,65000,66000
,,64382,Bộ Luyện Nét Cơ Bản 1,1,260000,130000,130000
,,65242,Bé tập làm bác sĩ,1,264000,132000,132000
,,65242,Bé tập làm bác sĩ,1,264000,132000,132000
SO0030,27/03/2023,65242,Bé tập làm bác sĩ,1,264000,132000,132000
SO0002,16/02/2023,65362,Câu ếch,1,184000,92000,92000
,,65362,Câu ếch,1,184000,92000,92000
170006,3/1/2023,65382,Bộ Luyện Viết Số,1,205000,184000,21000
,,65382,Bộ Luyện Viết Số,1,205000,102000,103000
,,66022,Trò chơi đa năng.,1,320000,160000,160000
,,66022,Trò chơi đa năng.,1,320000,160000,160000
,,66022,Trò chơi đa năng.,1,320000,160000,160000
SO0010,12/2/2023,66032,Bếp nướng,1,297000,148000,149000
,,66032,Bếp nướng,1,297000,148000,149000
,,66032,Bếp nướng,1,297000,148000,149000
,,66032,Bếp nướng,1,297000,148000,149000
,,66032,Bếp nướng,1,297000,148000,149000
,,67092,Banh lăn zíc zắc hình sâu,1,256000,128000,128000
,,67092,Banh lăn zíc zắc hình sâu,1,256000,128000,128000
170010,19/03/2023,67302,Xe Đua Địa Hình,1,120000,60000,60000
,,68112,Bảng tính thông minh,1,215000,107000,108000
,,68322,Xe trái cây,1,330000,165000,165000
170038,26/03/2023,68322,Xe trái cây,1,330000,165000,165000
170003,12/3/2023,68442,Bé vui học chữ,1,55000,27000,28000
,,68442,Bé vui học chữ,1,55000,27000,28000
,,69292,Bé học giao thông,1,119000,59000,60000
,,69292,Bé học giao thông,1,119000,59000,60000
,,90036,Bộ Lắp Ráp Kỹ Thuật,1,381000,114000,267000
,,90036,Bộ Lắp Ráp Kỹ Thuật,1,381000,114000,267000
SO0008,13/02/2023,90104,Bé Ơi Cùng Đếm Nhé,1,96000,28000,68000
,,90258,Trò Chơi Memory Chess,1,295000,88000,207000
,,90784,Trò Chơi Hái Táo,1,327000,98000,229000
,,90784,Trò Chơi Hái Táo,1,327000,98000,229000
SO0051,27/03/2023,91026,Xếp Hình Vạn Hoa,1,316000,94000,222000
,,91804,Tìm Nơi Ẩn Náu,1,107000,32000,75000
,,101121,Maker Kit- 50 pcs,1,349000,174000,175000
170012,27/01/2023,101121,Maker Kit- 50 pcs,1,349000,174000,175000
,,101122,Maker Kit- 100 pcs,1,599000,299000,300000
SO0016,27/03/2023,1684016,Mô hình ấm nước thông minh. Hiệu Smart,1,299000,149000,150000
,,1684018,Mô hình máy pha cà phê thông minh. Hiệu Smart,1,549000,274000,275000
,,1684060,Mô hình bàn ủi thông minh. Hiệu Smart,1,299000,149000,150000
170013,1/1/2023,4.52E+12,POKEMON World 2,1,349000,349000,
170021,1/1/2023,4.52E+12,POKEMON Pocket BONSAI 2,1,349000,349000,
170022,1/1/2023,4.52E+12,POKEMON World 2,1,349000,349000,
,,4.52E+12,POKEMON World 2,1,349000,349000,
190009,1/1/2023,4.52E+12,POKEMON SWING VIGNETTE Collection2,1,349000,349000,
20002,2/1/2023,4.52E+12,POKEMON Pocket BONSAI 2,1,349000,349000,
170003,2/1/2023,4.52E+12,POKEMON SWING VIGNETTE Collection2,2,349000,698000,
,,4.52E+12,POKEMON SWING VIGNETTE Collection2,4,349000,1396000,
,,4.52E+12,POKEMON Nakayoshi friends 2,1,349000,349000,
,,4.52E+12,POKEMON World 2,1,349000,349000,
20006,5/1/2023,4.52E+12,POKEMON Nakayoshi friends 2,1,349000,349000,
170003,5/1/2023,4.52E+12,POKEMON SWING VIGNETTE Collection2,1,349000,349000,
